GMID,Dataset,Address,數據集,地址,District,區域,Area,面積,Level,所處位置,Opening Hours,開放時間,Remarks,備註,Location Map,位置圖,Northing,Easting,Latitude,Longitude,Last Update
"tgfzKT1O1D","Public Open Space - Areas within private properties dedicated for public use","28 Robinson Road, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港羅便臣道28號","CENTRAL AND WESTERN","中西區","about 1 m2","約 1 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW55-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW55-map.pdf","815614.0","833700.0","22.27939769","114.15196233","2019-07-26 03:44:21"
"ivf7DZqLEg","Public Open Space - Areas within private properties dedicated for public use","533, 535, 537, 541-543 Queen's Road West and 468 & 470 Des Voeux Road West, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港皇后大道西533,535,537,541-543號及德輔道西468及470號","CENTRAL AND WESTERN","中西區","about 7 m2","約 7 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW58-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW58-map.pdf","816434.0","831714.0","22.286796","114.13268848","2019-07-26 03:44:21"
"LerAbk5sFW","Public Open Space - Areas within private properties dedicated for public use","9-13 Hoi An Street and 30-32 Sai Wan Ho Street, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港海晏街9-13號及西灣河街30-32號","EASTERN","東區","about 7 m2","約 7 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE50-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE50-map1.pdf","815699.0","841114.0","22.28015586","114.22389827","2019-07-26 03:44:20"
"STHh8yXwgw","Public Open Space - Areas within private properties dedicated for public use","1063 King's Road, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港英皇道1063號","EASTERN","東區","about 14 m2","約 14 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE13-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE13-map.pdf","816244.0","840069.0","22.28508198","114.21375966","2019-07-26 03:44:20"
"ZvPZLsIeRX","Public Open Space - Areas within private properties dedicated for public use","901-907 King's Road, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港英皇道901-907號","EASTERN","東區","about 306 m2","約 306 平方米","G/F","地下","24 hours","24小時","Street widening","街道擴闊","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE69-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE69-map1.pdf","816694.0","839705.0","22.28915014","114.21022658","2019-07-26 03:44:20"
"OU0BLmBquw","Public Open Space - Areas within private properties dedicated for public use","625 King's Road, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港英皇道625號","EASTERN","東區","about 22 m2","約 22 平方米","G/F","地下","24 hours","24小時","Street widening","街道擴闊","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE67-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE67-map1.pdf","817043.0","839292.0","22.29229628","114.20622827","2019-07-26 03:44:20"
"trpqxcoUaq","Public Open Space - Areas within private properties dedicated for public use","560 King's Road, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港英皇道560號","EASTERN","東區","about 263 m2","約 263 平方米","G/F, Lower G/F, Upper G/F & 2/F","地下、地下低層、地下高層及二樓","24 hours","24小時","Street widening (corner); Pedestrian passage","街道擴闊(街角); 行人通道","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE66-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE66-map1.pdf","816960.0","839047.0","22.29154896","114.20384286","2019-07-26 03:44:20"
"LffwjzbHzV","Public Open Space - Areas within private properties dedicated for public use","406-408 King's Road, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港英皇道406-408號","EASTERN","東區","about 2 m2about 320 m2","約 2 平方米約 320 平方米","G/FG/F, 1/F & 2/F","地下地下、1樓及2樓","24 hours24 hours","24小時24小時","Street widening (corner)Pedestrian passage","街道擴闊(街角)行人通道","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE65-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE65-map1.pdf","816849.0","838540.0","22.29054731","114.19892178","2019-07-26 03:44:20"
"CdQLoJm1A8","Public Open Space - Areas within private properties dedicated for public use","400-404 King's Road and 4A, 4B, 6, 6A, 6B, 6C Ming Yuen Western Street, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港英皇道400-404號及明園西街4A,4B,6,6A,6B,6C號","EASTERN","東區","about 3 m2","約 3 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE64-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE64-map1.pdf","816843.0","838512.0","22.29049316","114.19865394","2019-07-26 03:44:20"
"xlLWzdyI5k","Public Open Space - Areas within private properties dedicated for public use","391 King's Road, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港英皇道391號","EASTERN","東區","about 7 m2","約 7 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE63-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE63-map1.pdf","816908.0","838511.0","22.29108015","114.19864433","2019-07-26 03:44:20"
"E2R7dkuzdS","Public Open Space - Areas within private properties dedicated for public use","255 King's Road, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港英皇道255號","EASTERN","東區","about 87 m2","約 87 平方米","G/F","地下","24 hours","24小時","Street widening","街道擴闊","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE62-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE62-map1.pdf","816770.0","838081.0","22.28983533","114.19446853","2019-07-26 03:44:20"
"nV0ioPexqZ","Public Open Space - Areas within private properties dedicated for public use","101 King's Road, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港英皇道101號","EASTERN","東區","about 4 m2","約 4 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE61-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE61-map1.pdf","816465.0","837888.0","22.2870848","114.19259828","2019-07-26 03:44:20"
"cEDSjUZbnz","Public Open Space - Areas within private properties dedicated for public use","89 King's Road, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港英皇道89號","EASTERN","東區","about 3 m2","約 3 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE60-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE60-map1.pdf","816406.0","837895.0","22.28654837","114.19266809","2019-07-26 03:44:20"
"zHRh9DrwyX","Public Open Space - Areas within private properties dedicated for public use","59, 61, 61A, 63, 65 King's Road and 33-39 Wing Hing Street, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港英皇道59,61,61A,63,65號及永興街33-39號","EASTERN","東區","about 6 m2","約 6 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE59-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE59-map1.pdf","816291.0","837895.0","22.28550804","114.19266797","2019-07-26 03:44:20"
"7Ihy4VUR05","Public Open Space - Areas within private properties dedicated for public use","18 King's Road, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港英皇道18號","EASTERN","東區","about 11 m2","約 11 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE58-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE58-map1.pdf","816042.0","837914.0","22.28325849","114.19285499","2019-07-26 03:44:20"
"gtEtAfamWy","Public Open Space - Areas within private properties dedicated for public use","1-3 King Wah Road and 11-13 Oil Street, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港京華道1-3號及油街11-13號","EASTERN","東區","about 5 m2","約 5 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE57-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE57-map1.pdf","816658.0","837842.0","22.28882956","114.19214919","2019-07-26 03:44:20"
"VO5Hpvk0yQ","Public Open Space - Areas within private properties dedicated for public use","2D Kam Wa Street and 159-167 Shau Kei Wan Main Street East, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港金華街2D號及筲箕灣東大街159-167號","EASTERN","東區","about 3 m2","約 3 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE56-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE56-map1.pdf","815416.0","841775.0","22.2775982","114.23031018","2019-07-26 03:44:20"
"Pd5vfgx741","Public Open Space - Areas within private properties dedicated for public use","4 Kam Hong Street, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港琴行街4號","EASTERN","東區","about 8 m2","約 8 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE55-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE55-map1.pdf","816892.0","838821.0","22.29094065","114.2016574","2019-07-26 03:44:20"
"2X8QCGzKjh","Public Open Space - Areas within private properties dedicated for public use","146-166 Java Road, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港渣華道146-166號","EASTERN","東區","about 9 m2","約 9 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE54-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE54-map1.pdf","817047.0","838765.0","22.29234047","114.20111422","2019-07-26 03:44:20"
"4iXeyrjW7a","Public Open Space - Areas within private properties dedicated for public use","112, 112A, 114 Java Road and 27, 27A, 27B, 27C Shu Kuk Street, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港渣華道112,112A,114號及書局街27,27A,27B,27C號","EASTERN","東區","about 1 m2","約 1 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE87-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE87-map1.pdf","817020.0","838647.0","22.2920923","114.19996327","2019-07-26 03:44:20"
"qt58saW5B4","Public Open Space - Areas within private properties dedicated for public use","70 Java Road, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港渣華道70號","EASTERN","東區","about 3 m2","約 3 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE53-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE53-map1.pdf","816987.0","838491.0","22.2917945","114.19845521","2019-07-26 03:44:20"
"pumJfNfBec","Public Open Space - Areas within private properties dedicated for public use","18 Java Road, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港渣華道18號","EASTERN","東區","about 3 m2","約 3 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE52-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE52-map1.pdf","816920.0","838234.0","22.29118976","114.1959573","2019-07-26 03:44:20"
"KRQHvFvZi7","Public Open Space - Areas within private properties dedicated for public use","38 Hoi An Street, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港海晏街38號","EASTERN","東區","about 5 m2","約 5 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE51-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE51-map1.pdf","815711.0","841087.0","22.28026972","114.22364311","2019-07-26 03:44:20"
"Ai49xYfsY1","Public Open Space - Areas within private properties dedicated for public use","38 Tai Hong Street, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港太康街38號","EASTERN","東區","about 757 m2","約 757 平方米","G/F","地下","24 hours","24小時","Pedestrian passage","行人通道","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE82-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE82-map1.pdf","816238.0","841190.0","22.28502315","114.22463931","2019-07-26 03:44:19"
"bPFbPrdolO","Public Open Space - Areas within private properties dedicated for public use","6 Sun Yip Street, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港新業街6號","EASTERN","東區","about 6 m2","約 6 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE81-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE81-map1.pdf","814164.0","843524.0","22.26629259","114.24727714","2019-07-26 03:44:19"
"tsGn0fggtk","Public Open Space - Areas within private properties dedicated for public use","26-28 Shu Kuk Street, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港書局街26至28號","EASTERN","東區","about 39 m2","約 39 平方米","G/F","地下","24 hours","24小時","Street widening","街道擴闊","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/RL/07RL11-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/RL/07RL11-map1.pdf","817016.0","838675.0","22.29206156","114.20023401","2019-07-26 03:44:19"
"KAcUl7rigd","Public Open Space - Areas within private properties dedicated for public use","368 Shau Kei Wan Road,Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港筲箕灣道368號","EASTERN","東區","about 0.9 m2","約 0.9 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE77-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE77-map1.pdf","815464.0","841384.0","22.27803558","114.22652128","2019-07-26 03:44:19"
"57mIsP3hTu","Public Open Space - Areas within private properties dedicated for public use","307-309 Shau Kei Wan Road, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港筲箕灣道307-309號","EASTERN","東區","about 2 m2","約 2 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE80-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE80-map1.pdf","815489.0","841413.0","22.27826307","114.22680275","2019-07-26 03:44:19"
"VF1bLex9lL","Public Open Space - Areas within private properties dedicated for public use","209 Shau Kei Wan Road, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港筲箕灣道209號","EASTERN","東區","about 12 m2","約 12 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE79-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE79-map1.pdf","815737.0","841224.0","22.28050413","114.22496963","2019-07-26 03:44:19"
"pmjnp0wIlv","Public Open Space - Areas within private properties dedicated for public use","143-145 Shau Kei Wan Road,Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港筲箕灣道143-145號","EASTERN","東區","about 12 m2","約 12 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE78-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE78-map1.pdf","815806.0","841042.0","22.28112685","114.22319898","2019-07-26 03:44:19"
"HdIhOLkY6a","Public Open Space - Areas within private properties dedicated for public use","68 Shau Kei Wan Road,Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港筲箕灣道68號","EASTERN","東區","about 2 m2","約 2 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE76-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE76-map1.pdf","816003.0","840815.0","22.2829074","114.22099786","2019-07-26 03:44:19"
"6jQEj4GRWX","Public Open Space - Areas within private properties dedicated for public use","11 Shau Kei Wan Main Street East, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港筲箕灣東大街11號","EASTERN","東區","about 2 m2","約 2 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE75-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE75-map1.pdf","815868.0","841823.0","22.28167989","114.2307804","2019-07-26 03:44:19"
"XIOdvHgelb","Public Open Space - Areas within private properties dedicated for public use","8 North Point Road, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港北角道8號","EASTERN","東區","about 3 m2","約 3 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE74-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE74-map1.pdf","816894.0","838324.0","22.29096028","114.19682869","2019-07-26 03:44:19"
"vWymuZcg9B","Public Open Space - Areas within private properties dedicated for public use","1-11 Ngan Mok Street, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港銀幕街1-11號","EASTERN","東區","about 3 m2","約 3 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE01-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE01-map.pdf","816062.0","837839.0","22.28344369","114.19212434","2019-07-26 03:44:19"
"ifz8rxj61N","Public Open Space - Areas within private properties dedicated for public use","1-3 Nam Hong Street and 51-59 Nam On Street, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港南康街1-3號及南安街51-59號","EASTERN","東區","about 7 m2","約 7 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE73-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE73-map1.pdf","815494.0","841436.0","22.27830364","114.22702497","2019-07-26 03:44:19"
"utPo0EQHLA","Public Open Space - Areas within private properties dedicated for public use","2-4 Nam Hong Street and 61-65 Nam On Street, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港南康街2-4號及南安街61-65號","EASTERN","東區","about 4 m2","約 4 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE72-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE72-map1.pdf","815524.0","841419.0","22.27857551","114.22685623","2019-07-26 03:44:19"
"zHnLr3g7ls","Public Open Space - Areas within private properties dedicated for public use","2-28 Marble Road, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港馬寶道2至28號","EASTERN","東區","about 36 m2","約 36 平方米","G/F","地下","24 hours","24小時","Street widening","街道擴闊","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/RL/07RL08-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/RL/07RL08-map1.pdf","816974.0","838710.0","22.29168042","114.20058038","2019-07-26 03:44:19"
"aIpi3nMvAT","Public Open Space - Areas within private properties dedicated for public use","3 Lau Sin Street, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港留仙街3號","EASTERN","東區","about 268 m2","約 268 平方米","G/F","地下","24 hours","24小時","Street widening","街道擴闊","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE71-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE71-map1.pdf","816037.0","837841.0","22.28321522","114.1921379","2019-07-26 03:44:19"
"VALUVRhP7Y","Public Open Space - Areas within private properties dedicated for public use","1065 King's Road, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港英皇道1065號","EASTERN","東區","about 21 m2","約 21 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE70-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE70-map1.pdf","816244.0","840108.0","22.28508731","114.21414392","2019-07-26 03:44:19"
"hhQM05g3wu","Public Open Space - Areas within private properties dedicated for public use","668 King's Road, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港英皇道668號","EASTERN","東區","about 44 m2","約 44 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE68-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE68-map1.pdf","816976.0","839297.0","22.29169483","114.20627375","2019-07-26 03:44:19"
"7KlFvsXfbw","Public Open Space - Areas within private properties dedicated for public use","661-665 King's Road, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港英皇道661-665號","EASTERN","東區","about 289 m2","約 289 平方米","G/F","地下","24 hours","24小時","Pedestrian and vehicular passage","行人及車輛通道","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE17-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE17-map.pdf","816970.0","839528.0","22.29164294","114.20851149","2019-07-26 03:44:19"
"ntbBLFT17V","Public Open Space - Areas within private properties dedicated for public use","633 King's Road, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港英皇道633號","EASTERN","東區","about 25 m2","約 25 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE22-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE22-map.pdf","817030.0","839355.0","22.2921869","114.20683087","2019-07-26 03:44:19"
"uEobG8nuAR","Public Open Space - Areas within private properties dedicated for public use","100-104 Tsat Tsz Mui Road, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港七姊妹道100-104號","EASTERN","東區","about 16 m2","約 16 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE84-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE84-map1.pdf","816902.0","839001.0","22.29102435","114.20340316","2019-07-26 03:44:19"
"4eJncXWiTU","Public Open Space - Areas within private properties dedicated for public use","Tong Chong Street & 979 King's Road, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港糖廠街及英皇道979號","EASTERN","東區","about 2117 m2","約 2117 平方米","G/F & 1/F (including Phase I and II)","地下及1樓 (包括一期及二期)","24 hours","24小時","Pedestrian passage","行人通道","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE16-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE16-map.pdf","816441.0","839772.0","22.28686255","114.21087909","2019-07-26 03:44:19"
"z5C9GTvTtc","Public Open Space - Areas within private properties dedicated for public use","Tong Chong Street, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港糖廠街","EASTERN","東區","about 468 m2","約 468 平方米","G/F & 1/F","地下及1樓","24 hours","24小時","Street widening; Pedestrian passage","街道擴闊; 行人通道","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE15-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE15-map.pdf","816477.0","839788.0","22.28719123","114.2110354","2019-07-26 03:44:19"
"tvBQzC3RQl","Public Open Space - Areas within private properties dedicated for public use","5 Tong Shui Road, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港糖水道5號","EASTERN","東區","about 2 m2","約 2 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE83-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE83-map1.pdf","816931.0","838506.0","22.29128605","114.19859875","2019-07-26 03:44:18"
"wMZxpOpQ6c","Public Open Space - Areas within private properties dedicated for public use","311 Gloucester Road, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港告士打道311號","WAN CHAI","灣仔區","about 126 m2","約 126 平方米","G/F","地下","24 hours","24小時","Street widening","街道擴闊","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE30-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKE30-map1.pdf","815722.0","837255.0","22.2803719","114.18645827","2019-07-26 03:44:18"
