GMID,Dataset,Facility Name,Address,數據集,設施名稱,地址,District,地區,Facility Type,設施種類,Opening Hours,開放時間,Telephone,聯絡電話,Fax Number,傳真號碼,Email Address,電郵地址,Website,網頁,Facility Details,設施詳情,Northing,Easting,Latitude,Longitude,Last Update
"OOlKwDWFKQ","Parks, Zoos and Gardens","On Sau Road Park","On Sau Road, Kwun Tong","公園及動植物公園","安秀道公園","觀塘安秀道","KWUN TONG","觀塘","FITNESS EQUIPMENT,JOGGING TRACKS/FITNESS TRAILS","健體園灺,緩跑徑/健身徑","24 hr","24 hr","2553 5532","2553 5532","2553 5564","2553 5564","N.A.","N.A.","N.A.","N.A.","8 Fitness Stations. Toilets and changing rooms with lockers are provided in the Park. (including accessible toilets). Barrier Free Facilities: Accessible Toilet, Tactile Guide Path, Braille Directory Map/Floor Plan","8 個健身設施. 公園內設有男 / 女洗手間、更衣室及貯物櫃. 無障礙設施：暢通易達洗手間、觸覺引路帶、觸覺點字及觸覺平面圖","820442.0","841951.0","22.3229847","114.232035","2021-03-26 06:23:11"
"Dz8YN6Pk0H","Parks, Zoos and Gardens","Ki Lun Kong Public Park","Opposite to Sam Shing Estate, Castle Peak Road, Tuen Mun","公園及動植物公園","麒麟崗公眾公園","屯門青山公路三聖邨對面","TUEN MUN","屯門","DOG GARDENS/PET GARDENS","狗公園/寵物公園","24 hours daily","每日24小時開放","2451 3105","2451 3105","2459 2175","2459 2175","N.A.","N.A.","N.A.","N.A.","Dog excreta collection bin","狗糞收集箱","827035.0","815854.0","22.3824184","113.97865514","2021-02-09 03:06:53"
"qo1WuHhKZG","Parks, Zoos and Gardens","Tong Yam Street Hillside Sitting-out Area","Tong Yam Street, Shek Kip Mei","公園及動植物公園","棠蔭街山邊休憩處","石硤尾棠蔭街","SHAM SHUI PO","深水埗","DOG GARDENS/PET GARDENS,SITTING-OUT AREA","狗公園/寵物公園,休憩處","24 hours daily","每日24小時開放","2370 9954","2370 9954","2370 9954","2370 9954","N.A.","N.A.","N.A.","N.A.","Wash basin, two nos. of dog excreta collection bin","洗手盆, 兩個狗糞收集箱","821041.0","835545.0","22.32840315","114.16985649","2020-11-20 01:32:00"
"vZttZbdzhg","Parks, Zoos and Gardens","San Wan Road Sitting-out Area","San Wan Road, Fanling","公園及動植物公園","新運路休憩處","新界粉嶺新運路","NORTH","北區","FITNESS EQUIPMENT,SITTING-OUT AREA","健體園灺,休憩處","24 Hours Daily","全日24小時開放","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","Elderly Fitness Corner","長者健身園地","839510.0","832103.0","22.49518487","114.13640676","2020-03-13 07:41:17"
"ylVXUwSXzA","Parks, Zoos and Gardens","Wan Chai Gap Park","Coombe Road, Mid-Levels, Wan Chai, HK","公園及動植物公園","灣仔峽公園","香港灣仔半山區甘道","WAN CHAI","灣仔","PLAY EQUIPMENT FOR ALL CHILDREN,FITNESS EQUIPMENT,LIGHT REFRESHMENT KIOSK","共融遊樂設施,健體園灺,小食亭","24 Hours","全日24 小時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","Children’s Play Equipment, Fitness Equipment for the Elderly, Light Refreshment Kiosk, Toilets","兒童遊樂設施, 長者健體園地, 小食亭, 洗手間","814244.0","835480.0","22.2670266","114.16923079","2019-12-04 07:27:02"
"oKxHLeZpUy","Parks, Zoos and Gardens","Wu King Road Garden","Wu King Road, Tuen Mun","公園及動植物公園","湖景路花園","屯門湖景路","TUEN MUN","屯門","PARK","公園","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","826267.0","814594.0","22.37545989","113.96642758","2019-10-18 03:36:27"
"6rViC3SPUx","Parks, Zoos and Gardens","On Muk Street Garden","On Muk Street, Sha Tin","公園及動植物公園","安睦街花園","沙田安睦街","SHA TIN","沙田","PARK","公園","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","827795.0","839176.0","22.38939996","114.20511619","2019-10-18 03:36:13"
"Kkd5gIkkCx","Parks, Zoos and Gardens","Gloucester Road Garden","Gloucester Road, Wan Chai","公園及動植物公園","告士打道花園","灣仔告士打道","WAN CHAI","灣仔","PARK","公園","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","815656.0","835807.0","22.27978051","114.17240889","2019-10-18 03:35:55"
"MpEQmqOGjF","Parks, Zoos and Gardens","Tamar Park","Harcourt Road, Admiralty","公園及動植物公園","添馬公園","金鐘夏慤道","CENTRAL AND WESTERN","中西區","AMPHITHEATRE,CAFE,FLOATING PLATFORM,LANDSCAPED GARDEN,PARK,WATER FEATURES","露天劇場,茶座,觀景台,園景花園,公園,特色水景","24 hours daily","每日24 小時開放","2520 2321","2520 2321","2520 2393","2520 2393","cwdo@lcsd.gov.hk","cwdo@lcsd.gov.hk","N.A.","N.A.","N.A.","N.A.","815831.0","835103.0","22.28135824","114.16557869","2019-10-18 03:34:53"
"jebQerJrxW","Parks, Zoos and Gardens","Tsuen Wan Park","59 Wing Shun Street, Tsuen Wan","公園及動植物公園","荃灣公園","荃灣永順街59號","TSUEN WAN","荃灣","AMPHITHEATRE,CYCLING TRACKS/GROUNDS,DOG GARDENS/PET GARDENS,GATEBALL COURTS,JOGGING TRACKS/FITNESS TRAILS,PARK,TENNIS COURTS","露天劇場,單車徑/場,狗公園/寵物公園,門球場,緩跑徑/健身徑,公園,網球場","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/ls_park.php","http://www.lcsd.gov.hk/b5/ls_park.php","N.A.","N.A.","825329.0","829671.0","22.36711399","114.11282231","2019-10-18 03:30:26"
"DMXvsIKYYc","Parks, Zoos and Gardens","Sha Tin Park","2 Yuen Wo Road, Shatin","公園及動植物公園","沙田公園","沙田源禾路2號","SHA TIN","沙田","AMPHITHEATRE,PARK","露天劇場,公園","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/ls_park.php","http://www.lcsd.gov.hk/b5/ls_park.php","N.A.","N.A.","826698.0","837606.0","22.37949163","114.18987333","2019-10-18 03:24:46"
"fJjRzFzbeH","Parks, Zoos and Gardens","Kowloon Park","22 Austin Road, Tsim Sha Tsui","公園及動植物公園","九龍公園","尖沙咀柯士甸道22號","YAU TSIM MONG","油尖旺","AMPHITHEATRE,HANDBALL COURTS,HARD-SURFACE PITCHES,JOGGING TRACKS/FITNESS TRAILS,PARK","露天劇場,手球場,硬地球場,緩跑徑/健身徑,公園","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/ls_park.php","http://www.lcsd.gov.hk/b5/ls_park.php","7-a-side soccer pitch cum handball court","7人足球場暨手球場","817908.0","835581.0","22.30011781","114.17021018","2019-10-18 03:24:36"
"wpAN17dM0g","Parks, Zoos and Gardens","Lai Chi Kok Park","1 Lai Wan Road, Lai Chi Kok","公園及動植物公園","荔枝角公園","荔枝角荔灣道1號","SHAM SHUI PO","深水埗","AMPHITHEATRE,BASKETBALL COURTS,GATEBALL COURTS,HANDBALL COURTS,HARD-SURFACE PITCHES,JOGGING TRACKS/FITNESS TRAILS,PARK,SKATEBOARD GROUNDS,TENNIS COURTS,VOLLEYBALL COURTS","露天劇場,籃球場,門球場,手球場,硬地球場,緩跑徑/健身徑,公園,滑板場,網球場,排球場","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/ls_park.php","http://www.lcsd.gov.hk/b5/ls_park.php","7-a-side soccer pitch","7人足球場","822267.0","832158.0","22.3394756","114.13698489","2019-10-18 03:23:47"
"YT3zdvHx8v","Parks, Zoos and Gardens","Ap Lei Chau Wind Tower Park","Lei Chi Road, Ap Lei Chau, Hong Kong","公園及動植物公園","鴨脷洲風之塔公園","香港鴨脷洲利枝道","SOUTHERN","南區","AMPHITHEATRE,PARK","露天劇場,公園","Exhibition Gallery: 9:00am - 9:00pm daily<br/>Other park area: 24 hours daily","展覽館: 每日早上9時至晚上9時<br/>其他公園範圍: 每日24小時","2555 0103","2555 0103","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","811762.0","833802.0","22.24461204","114.15295796","2019-10-18 03:23:35"
"ljyTAig9LJ","Parks, Zoos and Gardens","Hong Kong Velodrome Park","105-107 Po Hong Road, Tseung Kwan O","公園及動植物公園","香港單車館公園","將軍澳寶康路105-107號","SAI KUNG","西貢","AMPHITHEATRE,CYCLING TRACKS/GROUNDS,JOGGING TRACKS/FITNESS TRAILS,MODEL BOAT POOLS,PLAY EQUIPMENT FOR ALL CHILDREN","露天劇場,單車徑/場,緩跑徑/健身徑,模型船池,共融遊樂設施","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/parks/vdp/index.html","http://www.lcsd.gov.hk/tc/parks/vdp/index.html","N.A.","N.A.","819464.0","844935.0","22.31414232","114.26099282","2019-10-18 03:23:11"
"VEZTAkVpGw","Parks, Zoos and Gardens","Mui Wo River Silver Garden","Ngan Shek Street, Mui Wo, Lantau","公園及動植物公園","梅窩銀河花園","大嶼山梅窩銀石街","ISLANDS","離島","AMPHITHEATRE,PARK","露天劇場,公園","24 hours (except maintenance day)","24 小時(定期保養日除外)","28524845","28524845","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","Open Air Theatre","露天劇場","814298.0","817735.0","22.2674179","113.99706424","2019-10-18 03:22:58"
"miZxcmDeKy","Parks, Zoos and Gardens","Victoria Park","1 Hing Fat Street, Causeway Bay","公園及動植物公園","維多利亞公園","銅鑼灣興發街一號","WAN CHAI","灣仔","AMPHITHEATRE,BASKETBALL COURTS,BOWLING GREENS,HARD-SURFACE PITCHES,JOGGING TRACKS/FITNESS TRAILS,MODEL BOAT POOLS,PARK,TENNIS COURTS","露天劇場,籃球場,草地滾球場,硬地球場,緩跑徑/健身徑,模型船池,公園,網球場","24 hours","24小時","2890 5824","2890 5824","2882 4151","2882 4151","vp@lcsd.gov.hk","vp@lcsd.gov.hk","http://www.lcsd.gov.hk/en/ls_park.php","http://www.lcsd.gov.hk/b5/ls_park.php","7-a-side soccer pitch","七人足球場","815965.0","837438.0","22.28256382","114.18822735","2019-10-18 03:22:41"
"blUhXe01yV","Parks, Zoos and Gardens","Tsing Yi Park","Tsing Luk Street, Tsing Yi","公園及動植物公園","青衣公園","青衣青綠街","KWAI TSING","葵青","BASKETBALL COURTS,HANDBALL COURTS,HARD-SURFACE PITCHES,PARK,TENNIS COURTS,AMPHITHEATRE","籃球場,手球場,硬地球場,公園,網球場,露天劇場","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/ls_park.php","http://www.lcsd.gov.hk/b5/ls_park.php","7-a-side Soccer Pitch","7人足球場","824116.0","828954.0","22.35616427","114.10587214","2019-10-18 03:22:24"
"AqubCw5xh5","Parks, Zoos and Gardens","Kwong Fuk Sitting-out Area","Kwong Wang Street, Tai Po","公園及動植物公園","廣福休憩處","大埔廣宏街","TAI PO","大埔","SITTING-OUT AREA","休憩處","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","834174.0","835940.0","22.44700107","114.17368793","2019-01-29 06:18:17"
"vhrz4OouUm","Parks, Zoos and Gardens","Wong Nai Chung Road Crescent Garden","Wong Nai Chung Road, Happy Valley, Hong Kong","公園及動植物公園","黃泥涌道新月花園","香港跑馬地黃泥涌道","WAN CHAI","灣仔","PARK","公園","N.A.","N.A.","2895 1523","2895 1523","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","- 1 set of Play Equipment for Toddlers of Age 2-5 (including climbing frame, swings and play panels). <br/>- 1 set of Play Equipment for Children of Age 5-12 (including climbing frame, slides, play panels, sway boat and climbing wall).","- 1套適合2-5歲兒童使用的組件（包括：攀爬架、鞦韆、遊戲板)<br/>- 1套適合5-12歲兒童使用的組件（包括：攀爬架、滑梯、遊戲板、搖搖船、攀爬牆）","814596.0","837031.0","22.27020923","114.18428517","2018-12-03 06:44:22"
"I2a64DY2ls","Parks, Zoos and Gardens","Ngau Tau Kok Park","199 Kwun Tong Road, Kowloon","公園及動植物公園","牛頭角公園","九龍觀塘道199號","KWUN TONG","觀塘","JOGGING TRACKS/FITNESS TRAILS,HARD-SURFACE PITCHES","緩跑徑/健身徑,硬地球場","7 am to 11 pm (Soccer)<br/><br/>24 hours daily (Jogging Tracks)","上午7時至晚上11時 (Soccer)<br/><br/>每日24小時開放 (Jogging Tracks)","2343 6123","2343 6123","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/facilities/facilitieslist/facilities.php?ftid=3&did=6&fcid=8 (Soccer)<br/><br/>http://www.lcsd.gov.hk/en/facilities/facilitieslist/facilities.php?ftid=26&did=6 (Jogging Tracks)","http://www.lcsd.gov.hk/tc/facilities/facilitieslist/facilities.php?ftid=3&did=6&fcid=8 (Soccer)<br/><br/>http://www.lcsd.gov.hk/tc/facilities/facilitieslist/facilities.php?ftid=26&did=6 (Jogging Tracks)","7-a-side Soccer Pitches (Free Outdoor Pitches/Courts)<br/><br/>Jogging Tracks / Fitness Trails","七人足球場 (戶外免費球場)<br/><br/>緩跑徑 / 健身徑","820441.0","840197.0","22.32298436","114.21501591","2017-03-02 04:32:48"
"7Px3rbSQmS","Parks, Zoos and Gardens","Oaklands Avenue Sitting-out Area","Oaklands Avenue, Mid-level","公園及動植物公園","屋蘭士街休憩處","半山屋蘭士街","CENTRAL AND WESTERN","中西區","DOG GARDENS/PET GARDENS","狗公園/寵物公園","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/facilities/facilitieslist/facilities.php?ftid=47&did=1","http://www.lcsd.gov.hk/tc/facilities/facilitieslist/facilities.php?ftid=47&did=1","N.A.","N.A.","816006.0","832836.0","22.28293107","114.14357793","2016-07-14 03:38:10"
"du0UFjuJMg","Parks, Zoos and Gardens","Wan Po Road Pet Garden","Wan Po Road, Tseung Kwan O, Sai Kung","公園及動植物公園","環保大道寵物公園","西貢將軍澳環保大道","SAI KUNG","西貢","DOG GARDENS/PET GARDENS","狗公園/寵物公園","7:00 am to 9:00 pm daily","每日上午七時至下午九時","2791 3100","2791 3100","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","Amenity Lawn for pets, Drink fountain for dogs, Dog’s latrine, Garden benches, Toilet","休憩草坪, 狗隻飲水器, 狗廁所, 公園座椅, 洗手間","818455.0","845745.0","22.30502708","114.26885517","2016-06-14 08:54:20"
"CA262F1tyi","Parks, Zoos and Gardens","Po Lam Sitting-Out Area","Po Lam Road North, Tseung Kwan O, Sai Kung","公園及動植物公園","寶琳休憩處","西貢將軍澳寶琳北路","SAI KUNG","西貢","SITTING-OUT AREA,DOG GARDENS/PET GARDENS","休憩處,狗公園/寵物公園","24 hours","全日開放","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","Sitting-Out Area/Pet Garden","休憩處/寵物公園","820914.0","844214.0","22.32723834","114.25400714","2016-05-04 04:27:51"
"qcg70gM907","Parks, Zoos and Gardens","San Ha Street Playground","San Ha Street","公園及動植物公園","新廈街遊樂場","新廈街","EASTERN","東區","PARK","公園","N.A.","N.A.","2564 2539","2564 2539","2590 6926","2590 6926","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","813948.0","843265.0","22.26433791","114.24476331","2015-06-03 06:38:24"
"Axj752YtqU","Parks, Zoos and Gardens","Po Kong Village Road / Shung Wah Street Sitting-out Area","J/O Po Kong Village Road / Shung Wah Street","公園及動植物公園","蒲崗村道 / 崇華街休憩處","蒲崗村道 / 崇華街交界","WONG TAI SIN","黃大仙","DOG GARDENS/PET GARDENS","狗公園/寵物公園","24 hours daily","每日24小時開放","2351 7535","2351 7535","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","Pet Corner, Arbours with benches, Pets’ play equipment<br/><br/>Drinking fountain","寵物角、蔭棚連坐椅、寵物遊戲設施、 飲水器","822975.0","838608.0","22.34587074","114.19959062","2015-05-13 06:30:36"
"ByBtZORk1n","Parks, Zoos and Gardens","Tin Yip Road Park","Tin Yip Road, Tin Shui Wai","公園及動植物公園","天業路公園","新界天水圍天業路","YUEN LONG","元朗","PARK,GRASS PITCHES","公園,草地球場","8:00am to 11:00pm daily","每日上午8時至晚上11時","2682 3197","2682 3197","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","11-A-Side Soccer Pitches, Toilet<br/><br/>Changing Room, Accessible Toilet, Babycare Room","十一人足球場,洗手間<br/><br/>更衣室, 暢通易達洗手間, 育嬰間","835981.0","818830.0","22.46323409","114.00744969","2015-05-13 04:30:22"
"m4eTpovRSE","Parks, Zoos and Gardens","Jordan Valley Park","No.71, New Clear Water Bay Road","公園及動植物公園","佐敦谷公園","觀塘新清水灣道71號","KWUN TONG","觀塘","PARK,MODEL CAR PLAY AREA,JOGGING TRACKS/FITNESS TRAILS","公園,模型車場,緩跑徑/健身徑","N.A.","","2342 2241","2342 2241","N.A.","N.A.","N.A.","N.A.","","","4 Jogging Tracks with 1,115m length and Fitness Stations","4條全長1,115米設有健身站的緩跑徑","821201.0","840897.0","22.32984225","114.22180663","2015-05-13 03:14:59"
"115xU1eR6m","Parks, Zoos and Gardens","Wai Lok Street Temporary Soccer Pitch","Wai Yip Street and Wai Lok Street junction, Kwun Tong, Kowloon (near Laguna Park)","公園及動植物公園","偉樂街臨時足球場","九龍觀塘偉業街與偉樂街交界(近麗港公園)","KWUN TONG","觀塘","GRASS PITCHES","草地球場","8 am to 6 pm daily (except Monday)","每日上午8時至下午6時（星期一除外）","2343 6123 / 2717 5705","2343 6123 / 2717 5705","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","7-A-Side Soccer Pitches, Changing facilities（showering facilities are not provided）, Portable toilets","7人足球場, 更衣室（不設淋浴設施）, 流動廁所","818336.0","841333.0","22.30397107","114.22603648","2015-05-13 03:07:28"
"RzN9mQXm2J","Parks, Zoos and Gardens","Tai Ping Village Playground","Po Lo Che Road, Sai Kung","公園及動植物公園","太平村遊樂場","西貢菠蘿輋路","SAI KUNG","西貢","BASKETBALL COURTS","籃球場","7am – 6pm","上午7時至晚上6時","2791 3100","2791 3100","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","1 basketball court","1個籃球場","826823.0","845051.0","22.38060389","114.26216009","2015-05-12 02:18:18"
"sbvnNsnhcJ","Parks, Zoos and Gardens","Tseung Kwan O Waterfront Park","Tong Chun Street, Tseung Kwan O, Sai Kung","公園及動植物公園","將軍澳海濱公園","西貢將軍澳唐俊街","SAI KUNG","西貢","DOG GARDENS/PET GARDENS","狗公園/寵物公園","24 hours daily","每日24小時開放","2791 3100","2791 3100","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","Dog Excreta Collection Bin, Pet Latrine, <br/><br/>Hand-washing Facility and Turf area for pet. Arbours with benches","狗糞收集箱、寵物廁所、洗手設備和草坪(寵物活動區)，蔭棚連坐椅","818126.0","844979.0","22.30205735","114.26141938","2015-05-07 03:48:46"
"X2tjPVE39w","Parks, Zoos and Gardens","Ma On Shan Promenade","Ning Tai Road, Ma On Shan","公園及動植物公園","馬鞍山海濱長廊","馬鞍山寧泰路","SHA TIN","沙田","PARK","公園","24 Hours","全日開放","2643 5320","2643 5320","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","Male and Female Toilet, Toilet for persons with disabilities, Fitness Station","男、女洗手間, 殘疾人士洗手間, 健體站","829948.0","840750.0","22.40883274","114.22040918","2014-09-17 06:58:42"
"PCHX6uonyw","Parks, Zoos and Gardens","Quarry Bay Promenade","Hoi Yu Street, Quarry Bay","公園及動植物公園","鰂魚涌海濱花園","鰂魚涌海裕街","EASTERN","東區","DOG GARDENS/PET GARDENS","狗公園/寵物公園","24 hours daily","每日24小時","2513 8499","2513 8499","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","Arbour, benches and dog excreta collection bins","涼亭、座椅及狗糞收集箱","816832.0","840131.0","22.29039576","114.2143695","2014-09-16 08:04:27"
"XJtP9Khs5q","Parks, Zoos and Gardens","Tung Chung North Park","No. 29 Man Tung Road, Tung Chung","公園及動植物公園","東涌北公園","東涌文東路29號","ISLANDS","離島","PLAY EQUIPMENT FOR ALL CHILDREN","共融遊樂設施","7 am to 11 pm daily (Free of charge)","每日上午7時至晚上11時 (免費使用)","21093423","21093423","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","1 set of Play Equipment for Age 2-5, 1 set of Play Equipment for Age 5-12, 1 spectator stand with 200 seats, Toilets, bathing and changing rooms, Floodlight system","1套適合2-5歲兒童使用的組件, 1套適合5-12 歲兒童使用的組件, 觀眾看台(約200人), 洗手間、浴室及更衣室, 泛光燈","816896.0","812774.0","22.29081439","113.94888916","2012-10-29 06:32:41"
"mmUuxFQDGX","Parks, Zoos and Gardens","Tsing Yi Northeast Park","10, Tam Kon Shan Road, Tsing Yi","公園及動植物公園","青衣東北公園","青衣担杆山路10號","KWAI TSING","葵青","GRASS PITCHES, BASKETBALL COURTS, VOLLEYBALL COURTS, GATEBALL COURTS, CYCLING TRACKS/GROUNDS, SKATEBOARD GROUNDS, JOGGING TRACKS/FITNESS TRAILS","草地球場, 籃球場, 排球場, 門球場, 單車徑/場, 滑板場, 緩跑徑/健身徑","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","11-A-SIDE ARTIFICIAL TURF SOCCER PITCH, 2 BASKETBALL-CUM-VOLLEYBALL COURTS, GATEBALL COURT, CYCLING TRACK, CYCLING TRACK FOR CHILDREN ,SKATEBOARD ARENA, CHILDREN’S PLAY AREAS, WALKING TILE, PIAZZA, WATERFRONT PROMENADE, JOGGING TRAIL WITH FITNESS STATIONS, FITNESS CORNER FOR ELDERLY, LANDSCAPED AREA, BIKE KIOSK, AND A FEE PAYING PUBLIC CAR PARK WITH 33 CAR PARKING SPACES.","十一人人造草地足球場、2個籃球場暨排球場、門球場、單車徑、兒童單車徑、滑板場、兒童遊樂場、足健徑、露天廣場、海濱長廊、設有健體站的緩跑徑、長者健體園地、園景區、單車租用亭 及一個設有三十三個車位的公眾收費停車場。","824803.0","828227.0","22.36236049","114.09881255","2012-10-03 03:22:26"
"cyGZCbLLIT","Parks, Zoos and Gardens","Cornwall Street Park","17 Cornwall Street, Kowloon Tong, Kowloon","公園及動植物公園","歌和老街公園","九龍塘歌和老街17號","SHAM SHUI PO","深水埗","PARK, JOGGING TRACKS/FITNESS TRAILS","公園, 緩跑徑/健身徑","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","822201.0","835970.0","22.33887904","114.17399032","2012-08-24 02:47:28"
"8RKSlmKXaI","Parks, Zoos and Gardens","Hoi Wong Road Garden","Hoi Wong Road, Tuen Mun (Next to Tuen Mun Swimming Pool)","公園及動植物公園","海皇路花園","屯門海皇路(屯門泳池側)","TUEN MUN","屯門","PARK","公園","24 hours daily","每日24小時開放","2451 3110","2451 3110","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/lsb/en/facilities.php?ftid=47&did=14","http://www.lcsd.gov.hk/lsb/b5/facilities.php?ftid=47&did=14","Pet Playing Equipment, Dog Excreta Collection Bin, Pet Latrine, Hand-washing Facility and Turf area for pet","寵物遊樂設施、狗糞收集箱、寵物廁所、洗手設備和草坪(寵物活動區)","827384.0","814989.0","22.3855588","113.97024581","2011-07-27 06:38:50"
"bo0YEMwZVW","Parks, Zoos and Gardens","Ngau Chi Wan Park","71 Fung Shing Street, Ngau Chi Wan, Wong Tai Sin","公園及動植物公園","牛池灣公園","黃大仙牛池灣豐盛街71號","WONG TAI SIN","黃大仙","PARK,ARCHERY RANGES, BASKETBALL COURTS","公園, 射箭場, 籃球場","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","821899.0","840072.0","22.33615123","114.21380222","2010-12-23 02:52:47"
"NoqFVkXgYs","Parks, Zoos and Gardens","Middle Road Children's Playground","Middle Road, Tsim Sha Tsui, Kowloon","公園及動植物公園","中間道兒童遊樂場","九龍尖沙咀中間道","YAU TSIM MONG","油尖旺","PLAY EQUIPMENT FOR ALL CHILDREN","共融遊樂設施","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","817387.0","835981.0","22.29541388","114.17409407","2010-12-06 06:42:38"
"4WX0os0I1H","Parks, Zoos and Gardens","Fung Tak Park","42, Fung Tak Road, Wong Tai Sin, Kowloon","公園及動植物公園","鳳德公園","九龍黃大仙鳳德道42號","WONG TAI SIN","黃大仙","PARK, PLAY EQUIPMENT FOR ALL CHILDREN","公園, 共融遊樂設施","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","822589.0","838449.0","22.34238515","114.19805529","2010-12-06 04:22:01"
"areSw6Rl3I","Parks, Zoos and Gardens","Nam Cheong Park","20 Sham Mong Road, Kowloon","公園及動植物公園","南昌公園","九龍深旺道20號","SHAM SHUI PO","深水埗","PLAY EQUIPMENT FOR ALL CHILDREN","共融遊樂設施","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","820563.0","834262.0","22.32409123","114.1574113","2010-12-06 04:19:53"
"P5fuf2N5u4","Parks, Zoos and Gardens","Lion Rock Park","Chuk Yuen Road, Wong Tai Sin, Kowloon","公園及動植物公園","獅子山公園","九龍黃大仙竹園道","WONG TAI SIN","黃大仙","PARK","公園","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","822861.0","836986.0","22.34484541","114.18384743","2010-12-02 04:12:57"
"sXOgLTlfAB","Parks, Zoos and Gardens","Ma On Shan Park","12 On Chun Street, Ma On Shan","公園及動植物公園","馬鞍山公園","馬鞍山鞍駿街12號","SHA TIN","沙田","PARK, JOGGING TRACKS/FITNESS TRAILS","公園, 緩跑徑/健身徑","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/ls_park.php","http://www.lcsd.gov.hk/b5/ls_park.php","N.A.","N.A.","831992.0","841859.0","22.4272941","114.23118521","2010-10-13 06:52:50"
"LVE18DbyCn","Parks, Zoos and Gardens","North Point Promenade","North Point Ferry Pier, Hong Kong","公園及動植物公園","北角海濱花園","香港北角渡輪碼頭","EASTERN","東區","PARK","公園","24 hrs","24小時","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","Pet corner, elderly fitness equipment, garden benches, landscaping area","寵物角、長者健身設施、公園椅、園景","817174.0","838804.0","22.29348308","114.20149094","2010-10-06 08:17:09"
